Source: dtm
X;Y;Z;M
272670.6410516463;7038223.279509067;180.565658569;1527.5829562360589
272665.6594740028;7038222.850691877;180.170059204;1532.5985817063336
272660.67789635924;7038222.421874689;179.599487305;1537.631031635703
272655.69631871564;7038221.993057501;179.487808228;1542.6322787018357
272650.7147410721;7038221.564240312;179.44833374;1547.6324345228961
272645.73316342855;7038221.135423124;179.407745361;1552.6325992618015
272640.75158578495;7038220.706605935;179.347106934;1557.6329669502709
272635.7700081414;7038220.277788746;177.978317261;1562.8169408283488
272630.78843049787;7038219.848971558;176.493286133;1568.0328125149235
272625.80685285426;7038219.420154369;174.876464844;1573.287725557099
272620.8252752107;7038218.991337181;174.491455078;1578.3025269010805
272615.8436975672;7038218.562519993;173.343841553;1583.4325382853217
272610.8621199236;7038218.133702803;171.417938232;1588.7906259668457
272605.88054228004;7038217.704885615;170.974700928;1593.8102334522314
272600.8989646365;7038217.276068427;170.096466064;1598.886777205222
272595.91738699295;7038216.847251238;169.447021484;1603.9287786195587
272590.93580934935;7038216.41843405;169.105529785;1608.9404267098328
272585.9542317058;7038215.989616862;168.707717896;1613.9562271742363
272580.97265406227;7038215.560799672;168.210372925;1618.9809014940963
272575.99107641866;7038215.131982484;167.749145508;1624.0021295043
272571.0094987751;7038214.7031652955;167.366989136;1629.0167125869043
272566.0279211316;7038214.274348107;166.847167969;1634.0436613677598
272561.046343488;7038213.845530919;166.642211914;1639.0478603031283
272556.06476584444;7038213.4167137295;166.758346558;1644.0492088468732
272551.0831882009;7038212.987896541;166.417785645;1649.0607935997377
272546.10161055735;7038212.559079353;166.376113892;1654.0609672501903
272541.12003291375;7038212.130262164;166.756515503;1659.0754169095162
272536.1384552702;7038211.701444976;166.817398071;1664.0757875644545
272531.15687762666;7038211.272627788;166.706817627;1669.077010218394
272526.17529998306;7038210.843810598;166.657012939;1674.077258263042
272521.1937223395;7038210.41499341;166.630142212;1679.0773304660859
272516.212144696;7038209.986176222;166.453659058;1684.0804441269304
272511.2305670524;7038209.557359033;166.525634766;1689.080962150376
272506.24898940884;7038209.128541845;166.351898193;1694.083979679476
272501.2674117653;7038208.699724656;166.278823853;1699.0845136369296
272496.2858341217;7038208.270907467;166.135055542;1704.086580142636
272491.30425647815;7038207.842090279;166.024719238;1709.0877974044297
272486.3226788346;7038207.4132730905;165.97038269;1714.0880926417262
272481.34110119106;7038206.984455902;165.559768677;1719.1049246966543
272476.35952354746;7038206.555638714;163.899993896;1724.3732121151525
272471.3779459039;7038206.126821524;157.438430786;1732.5433894586986
272466.3963682604;7038205.698004336;157.232910156;1737.5476115489978
272461.4147906168;7038205.269187148;157.171051025;1742.5479941895915
272456.43321297324;7038204.840369959;156.699035645;1747.5702246222418
272451.4516353297;7038204.411552771;154.434356689;1753.0591927195649
272446.4700576861;7038203.982735583;152.238067627;1758.5202993513863
272441.48848004255;7038203.553918393;150.16835022;1763.9317437191423
272436.506902399;7038203.125101205;148.26713562;1769.281006935225
272431.52532475546;7038202.696284017;146.23866272;1774.676811074157
272426.54374711186;7038202.267466828;143.727706909;1780.271889186664
272421.5621694683;7038201.83864964;141.115814209;1785.9129869057251
272416.5805918248;7038201.409832451;138.663375854;1791.4820491145315
272411.5990141812;7038200.981015262;137.111663818;1796.717296027804
272406.61743653764;7038200.552198074;134.893417358;1802.187270192001
272401.6358588941;7038200.123380885;132.456207275;1807.749643155796
272396.6542812505;7038199.694563697;129.989578247;1813.3249690442115
272391.67270360695;7038199.265746509;127.680976868;1818.8322043149078
272386.6911259634;7038198.836929319;124.775466919;1824.6151091268703
272381.7095483198;7038198.408112131;122.103927612;1830.2840704311225
272376.72797067626;7038197.979294943;119.640830994;1835.8578344151178
272371.7463930327;7038197.550477754;117.312515259;1841.3733628722587
272366.7648153892;7038197.121660566;114.949623108;1846.90357618794
272361.7832377456;7038196.692843378;113.013656616;1852.2652891845864
272356.80166010204;7038196.264026188;111.358306885;1857.5321841647815
272351.8200824585;7038195.835209;110.137832642;1862.6789848581743
272346.8385048149;7038195.406391812;109.20489502;1867.7652774772441
272341.85692717135;7038194.977574623;108.516304016;1872.8124705160005
272336.8753495278;7038194.548757435;108.031745911;1877.835895299632
272331.8937718842;7038194.1199402455;107.65461731;1882.850097727013
272326.91219424066;7038193.691123057;107.558006287;1887.8510310088561
272321.9306165971;7038193.262305869;107.636268616;1892.8516434705275
272316.9490389536;7038192.83348868;106.920669556;1897.9025920957222
272311.96746131;7038192.404671492;104.925384521;1903.2860075888043
272306.98588366644;7038191.975854304;103.627822876;1908.4516310964032
272302.0043060229;7038191.547037114;103.351829529;1913.4592425358092
272297.0227283793;7038191.118219926;102.935577393;1918.47653920244
272292.04115073575;7038190.689402738;102.6199646;1923.4864904431995
272287.0595730922;7038190.260585549;102.381065369;1928.4921944738285
272282.0779954486;7038189.831768361;102.250320435;1933.4939036055182
272277.09641780506;7038189.402951173;101.929641724;1938.5041765357457
272272.1148401615;7038188.974133983;101.601997375;1943.5149001182149
272267.1332625179;7038188.545316795;101.433288574;1948.5177455745325
272262.1516848744;7038188.1164996065;100.923927307;1953.5436234978413
272257.17010723084;7038187.687682418;100.689025879;1958.5491383245658
272252.1885295873;7038187.25886523;100.832824707;1963.5512057074202
272247.2069519437;7038186.8300480405;100.450759888;1968.5657818138302
272242.22537430015;7038186.401230852;100.198959351;1973.5721181499262
272237.2437966566;7038185.972413664;99.875228882;1978.5825873311746
272232.262219013;7038185.543596475;99.878204346;1983.5825882165393
272227.28064136946;7038185.114779287;99.679382324;1988.5865396747486
272222.2990637259;7038184.685962099;99.633422852;1993.5867508975618
272217.3174860823;7038184.257144909;99.681251526;1998.5869796506408
272212.3359084388;7038183.828327721;99.658042908;2003.5870335143138
272207.35433079524;7038183.399510533;99.536727905;2008.5885050307413
272202.3727531517;7038182.970693344;99.345405579;2013.5921641150624
272197.3911755081;7038182.541876156;99.442993164;2018.5931163580865
272192.40959786455;7038182.1130589675;99.727241516;2023.6011895529687
272187.428020221;7038181.684241778;99.908309937;2028.6044670561223
272182.4464425774;7038181.25542459;100.011428833;2033.6055302937723
